Data Source,World Development Indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Last Updated Date,01-28-25,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Country Name,Country Code,Indicator Name,Indicator Code,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022,2023
Aruba,ABW,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,64.152,64.537,64.752,65.132,65.294,65.502,66.063,66.439,66.757,67.168,67.583,67.975,68.577,69.092,69.503,69.762,70.035,70.264,70.494,70.778,71.066,71.722,71.959,72.105,72.251,72.388,72.462,72.789,73.047,73.023,73.076,73.1,73.179,73.225,73.272,73.349,73.448,73.452,73.491,73.561,73.569,73.647,73.726,73.752,73.576,73.811,74.026,74.21,74.147,74.56,75.404,75.465,75.531,75.636,75.601,75.683,75.617,75.903,76.072,76.248,75.723,74.626,74.992,
Africa Eastern and Southern,AFE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,44.09883466,44.4010826,44.76803712,44.92568953,45.49893345,45.51281965,45.26339776,45.93304208,46.22975461,46.4369446,46.72371042,47.20967235,46.91315789,47.72270783,47.6343621,47.79287854,48.37347256,48.6567619,48.781896,49.27690049,49.65491408,50.08262286,50.33266337,48.75816284,48.71599524,49.08027406,49.71144502,50.11538649,49.37453105,50.72100102,50.64266425,50.41606019,49.97446922,50.28794246,50.91638985,51.01603668,50.8193448,50.98196953,50.32710673,51.25887438,51.98698856,52.2122394,52.56278127,53.03630114,53.55188238,54.22294997,55.15771941,55.93783772,56.6807366,57.62151351,58.4103157,59.29331941,60.05152704,60.71002826,61.3388128,61.85685585,62.4446411,62.92481013,63.36703676,63.75475217,63.30979351,62.44909279,62.88846323,
Afghanistan,AFG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,32.535,33.068,33.547,34.016,34.494,34.953,35.453,35.924,36.418,36.91,37.418,37.923,38.444,39.003,39.55,40.1,40.645,41.228,40.271,39.086,39.618,40.164,37.766,38.187,33.329,33.55,39.396,39.844,43.958,45.158,45.967,46.663,47.596,51.466,51.495,52.544,53.243,53.634,52.943,54.846,55.298,55.798,56.454,57.344,57.944,58.361,58.684,59.111,59.852,60.364,60.851,61.419,61.923,62.417,62.545,62.659,63.136,63.016,63.081,63.565,62.575,61.982,62.879,
Africa Western and Central,AFW,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,37.84614486,38.16547843,38.73578778,39.06327255,39.3336214,39.61488005,39.83348383,39.46642558,40.07945136,40.34287624,41.02644629,41.54787933,42.24128189,42.8467256,43.48895663,44.19265242,44.99493715,45.71210447,46.26201583,46.66625286,47.00825282,47.29049454,47.52311718,47.77921675,47.92624698,48.01569624,48.06034541,48.22949487,48.50467751,48.68020551,48.63820717,48.64872751,48.72148755,48.81532685,48.66469596,48.76475472,48.88524532,49.05807307,49.30989826,49.72642912,50.19459481,50.53734603,50.89808607,51.37161407,51.7847675,52.30806344,52.79253688,53.20899842,53.59414538,54.11170772,54.50046583,54.96017175,55.28394049,55.61514033,55.86366481,56.13527478,56.51808555,56.82663415,57.12970739,57.50029484,57.18067072,56.94647481,57.58910643,
Angola,AGO,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,38.211,37.267,37.539,37.824,38.131,38.495,38.757,39.092,39.484,39.829,40.19,40.554,40.905,41.27,41.652,41.191,41.163,41.437,41.83,42.175,42.449,42.772,43.051,42.092,42.353,42.648,42.843,40.917,41.545,41.765,41.893,43.813,42.209,42.101,43.422,45.849,46.033,46.306,45.057,45.386,46.024,46.59,47.386,49.617,50.592,51.57,52.369,53.642,54.633,55.752,56.726,57.596,58.623,59.307,60.04,60.655,61.092,61.68,62.144,62.448,62.261,61.643,61.929,
Albania,ALB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,54.439,55.634,56.671,57.844,58.983,60.019,60.998,61.972,62.946,63.923,64.824,65.618,66.422,67.14,67.769,68.328,68.704,69.121,69.309,69.584,70.478,70.73,71.023,71.296,71.502,71.656,71.95,72.352,72.641,72.88,73.144,73.378,73.715,73.939,74.131,74.362,74.592,73.904,74.99,75.183,75.404,75.639,75.89,76.142,76.376,76.621,76.816,77.549,77.653,77.781,77.936,78.092,78.064,78.123,78.407,78.644,78.86,79.047,79.184,79.282,76.989,76.463,76.833,
Andorra,AND,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Arab World,ARB,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,44.95653068,45.65910823,46.10045753,46.95409128,47.88696246,48.21269251,48.42524135,48.87355763,49.39657559,49.76045732,50.27956248,51.23216895,51.78940614,52.46194038,53.10569192,53.60801791,53.98276146,55.2340672,55.99036868,56.70790142,57.1732662,57.55410127,57.90041316,58.6101247,59.29568672,60.03321441,61.0493689,60.97426215,60.35431949,62.28046615,62.72936919,62.97134534,63.23523138,64.22972501,65.32572136,65.15306599,65.52777707,65.81377173,65.60011402,66.71675822,67.14859466,67.48786771,67.79899226,67.7264644,67.76178998,68.03131069,68.44561526,68.80447718,69.14987017,69.66598991,69.86290765,70.09295008,70.03068135,70.06350949,70.36704165,70.64389168,70.84301911,71.32086973,71.48853851,71.68841844,70.79422343,70.65234704,71.07816994,
United Arab Emirates,ARE,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,48.811,49.695,50.686,51.584,52.848,53.985,55.185,56.339,57.54,58.76,60.021,61.211,62.304,63.351,64.338,65.08,65.82,66.514,67.209,67.846,68.53,69.085,69.66,69.949,70.485,70.747,70.964,71.491,71.606,71.757,71.9,72.241,72.306,72.521,72.598,72.695,72.767,72.937,73.066,73.67,74.38,74.636,74.901,76.222,76.453,76.683,76.909,77.129,77.488,78.003,78.334,78.517,78.716,78.853,79.044,79.223,79.335,79.504,79.627,79.726,78.946,78.71,79.196,
Argentina,ARG,"Life expectancy at birth, total (years)",SP.DYN.LE00.IN,63.978,64.36,64.244,64.449,64.363,64.593,64.891,64.992,64.89,64.859,65.589,65.541,65.923,66.323,66.563,67.081,67.228,67.861,68.197,68.491,68.564,68.976,68.937,69.267,69.195,69.651,70.119,70.564,71.052,71.425,71.784,72.319,72.43,72.565,73.172,73.133,73.307,73.09,73.474,73.722,73.926,74.186,74.408,74.08,74.855,75.139,75.433,75.006,75.641,75.936,75.721,76.124,76.467,76.491,76.755,76.76,76.308,76.833,76.999,77.284,75.892,75.39,76.064,
